h3_index,bike_path_length,geometry,main_roads_length,walks_length,green_space_area,service_amenity_count,population_density,distance_to_city_center
875262d5cffffff,0.0,"POLYGON ((20.07999886817123 50.093326202231246, 20.067904542187016 50.090022908650106, 20.05977418094381 50.09855286937005, 20.063736435876173 50.11038437120625, 20.075828342798392 50.113688948695646, 20.0839604137112 50.105160740990094, 20.07999886817123 50.093326202231246, 20.07999886817123 50.093326202231246))",7294.981661689651,95798.69498834427,30545.902091088825,72,15628905878.50869,12644.96247403295
8752666d9ffffff,593.2899078305509,"POLYGON ((20.19724471192104 50.08231194319344, 20.18514251134645 50.07900563795445, 20.176998302736763 50.08754760866371, 20.18095458900016 50.09939412886293, 20.193054369548687 50.10270172200181, 20.201200283720947 50.09416150759306, 20.19724471192104 50.08231194319344, 20.19724471192104 50.08231194319344))",4787.141911151748,36729.81634591774,83578.41677862899,7,15573433139.95225,22683.864121818668
875262c52ffffff,12246.747305063443,"POLYGON ((19.930748343185886 50.074074893784044, 19.91866062763103 50.07077774414858, 19.910547597348806 50.07929922225331, 19.91452056625351 50.091116103890414, 19.926605865152787 50.09441453553341, 19.93472061166446 50.08589480407908, 19.930748343185886 50.074074893784044, 19.930748343185886 50.074074893784044))",18811.004222763353,296680.47126311716,236788.32760916316,1184,14893135001.705774,10346.163261494545
875262c09ffffff,5020.089960196523,"POLYGON ((19.97116238266497 50.06361886133817, 19.959071186516788 50.06032114080585, 19.950953273035605 50.06884810736164, 19.95492484045728 50.080671047660324, 19.96701361981146 50.08397005220511, 19.975133248399654 50.0754448329868, 19.97116238266497 50.06361886133817, 19.97116238266497 50.06361886133817))",12846.251699287506,273802.4203918575,67981.25804088116,1041,14879745028.056723,5789.328743240151
875262cccffffff,1863.4700883515152,"POLYGON ((19.854099445933304 50.074633212456256, 19.842016304960914 50.07133848646327, 19.83391233208983 50.07985348718512, 19.837889780908235 50.091661470367264, 19.84997050614578 50.09495747640106, 19.858076198161317 50.0864442197579, 19.854099445933304 50.074633212456256, 19.854099445933304 50.074633212456256))",5927.155764760451,80088.14053708468,175347.96527681977,55,15709854484.922052,17960.19421041822
875262c1cffffff,2479.9026016440866,"POLYGON ((19.96752605148299 49.98738945829342, 19.95542693382185 49.98409717557705, 19.947308575195002 49.99263936401202, 19.951287615701055 50.00447209354653, 19.963384319164735 50.0077656674366, 19.971504396183057 49.999225221167286, 19.96752605148299 49.98738945829342, 19.96752605148299 49.98738945829342))",7165.476701830832,92060.28777537309,760718.6493912373,155,14855825573.89165,9786.230196540202
875262c75ffffff,0.0,"POLYGON ((20.019337284226953 50.10899882242485, 20.007248138316506 50.10569639173465, 19.9991250832494 50.11421811164113, 20.003089462584363 50.12604051081272, 20.015176189621464 50.129344222401066, 20.023300956057586 50.120824254468054, 20.019337284226953 50.10899882242485, 20.019337284226953 50.10899882242485))",4771.559661216821,47489.49746155035,125799.56368541913,4,15698720288.972155,12343.39187282945
875262d40ffffff,0.0,"POLYGON ((20.116283892433156 50.103239803524055, 20.10418854447896 50.09993464951558, 20.09605404237386 50.108465606814086, 20.100013180235056 50.120299963760104, 20.112106108381322 50.123606401640274, 20.12024231833497 50.115077199252624, 20.116283892433156 50.103239803524055, 20.116283892433156 50.103239803524055))",5493.427138329979,61163.723390902625,133639.37751268683,35,15622949368.644613,16707.221911194065
875262d29ffffff,2720.026859942687,"POLYGON ((20.169302315162437 50.03159986694753, 20.157196280015405 50.028298006982325, 20.14905477187092 50.03684799541333, 20.153017589978184 50.048698092383276, 20.165121207103883 50.05200124438792, 20.17326442400584 50.04345300793473, 20.169302315162437 50.03159986694753, 20.169302315162437 50.03159986694753))",3424.5354105034685,53558.07414565352,53784.65279990333,16,15427636837.578152,18294.993112301432
875262d72ffffff,2415.368032148277,"POLYGON ((20.12881136688169 50.0420936505832, 20.116708763284947 50.03879236048161, 20.108572104489237 50.0473368341171, 20.112536339253932 50.059180847113566, 20.12463652493561 50.06248342723382, 20.13277489362965 50.0539407048898, 20.12881136688169 50.0420936505832, 20.12881136688169 50.0420936505832))",3741.551441755738,35850.07449636841,223441.46660030007,7,15328323123.764872,13765.08326781904
