h3_index,bike_path_length,geometry,main_roads_length,walks_length,green_space_area,service_amenity_count,population_density,distance_to_city_center
877ab6084ffffff,21474.224772395828,"POLYGON ((4.919478401998984 52.34843634389743, 4.93098327507148 52.34791260260223, 4.937609419879154 52.33793529856856, 4.932731082433258 52.328479884510706, 4.921224743003465 52.32900274861883, 4.91459820730618 52.33898190413321, 4.919478401998984 52.34843634389743, 4.919478401998984 52.34843634389743))",17413.415719898625,116511.8119435238,393297.59738532937,1106,64033986234.53773,7338.349129064597
877ab654affffff,855.1667808480354,"POLYGON ((4.963349108372158 52.43344528170189, 4.974840516506629 52.43291783310467, 4.981463407783448 52.422953022561124, 4.976595281087217 52.41351380899972, 4.9651024052914945 52.41404038361809, 4.958479123783365 52.424007045938026, 4.963349108372158 52.43344528170189, 4.963349108372158 52.43344528170189))",2905.2321399578523,10542.972802993687,2079.408561528518,0,64098041954.22873,12610.105489774978
877ab6188ffffff,32437.46329794038,"POLYGON ((4.832275618343048 52.36208406278609, 4.843791173302769 52.36155949814371, 4.850417173009315 52.351579868609726, 4.845528004079904 52.34212295074179, 4.834010977688122 52.34264663795053, 4.827384591588184 52.352628120622256, 4.832275618343048 52.36208406278609, 4.832275618343048 52.36208406278609))",28186.790884444476,136404.0905678431,141525.10743846785,543,64410672690.94404,7082.268830216436
877ab6083ffffff,22380.713194874683,"POLYGON ((4.955739183710384 52.327434309849984, 4.967240944304343 52.32691159928257, 4.9738676881636685 52.31693337844681, 4.9689930645978 52.307476017739916, 4.957489840406739 52.30799785070902, 4.950862703307347 52.31797792214448, 4.955739183710384 52.327434309849984, 4.955739183710384 52.327434309849984))",12046.87459299283,160512.1407618695,695791.7890765041,910,64201742328.18318,12779.110341740457
877ab6461ffffff,3209.7086090537764,"POLYGON ((5.00133407137774 52.39305303596415, 5.012823833137915 52.39252749019263, 5.01944801634288 52.38255944103382, 5.0145828309903715 52.3731150871711, 5.003091605231685 52.37363975791341, 4.996467028753171 52.38360965770878, 5.00133407137774 52.39305303596415, 5.00133407137774 52.39305303596415))",2398.685430058449,18476.28999994159,11398.859337090007,14,64026874893.79737,12986.740274344897
877ab60a4ffffff,28749.73944436218,"POLYGON ((4.8668177225753855 52.360510522921494, 4.8783287156254325 52.35998611232651, 4.884954638847947 52.350007875435914, 4.880069957005074 52.340552196772705, 4.868557494369934 52.34107573016032, 4.861931183092761 52.35105581957988, 4.8668177225753855 52.360510522921494, 4.8668177225753855 52.360510522921494))",24938.97797636129,150195.182990561,482551.8956357003,664,64408319353.703285,4622.997841026629
877ab656bffffff,14744.812195673167,"POLYGON ((4.912492267452772 52.42611571124485, 4.923991266012991 52.42558846758034, 4.930614630009668 52.41562041650241, 4.925739383473089 52.406177756694824, 4.914238914924991 52.40670412572425, 4.907615162831857 52.416674029357814, 4.912492267452772 52.42611571124485, 4.912492267452772 52.42611571124485))",14103.759636963045,63447.66994599077,259369.6623230402,124,64014487476.10028,8398.549733409514
877ab6186ffffff,1481.5802033641285,"POLYGON ((4.808932868535394 52.43086322581724, 4.820445541911501 52.430335517744595, 4.827069119763103 52.42036329816744, 4.822180407277931 52.41091693244369, 4.810666258365359 52.41144376520624, 4.804042297406021 52.421417839164405, 4.808932868535394 52.43086322581724, 4.808932868535394 52.43086322581724))",5967.325241073968,30107.62435603264,3792.9190358101723,353,64046926039.66587,12221.126219549611
877ab6182ffffff,8836.35100004971,"POLYGON ((4.827069119763103 52.42036329816744, 4.838580254969843 52.419836105057136, 4.845204151919292 52.409863421578486, 4.840317297884595 52.400416077428076, 4.828804688518714 52.40094239502132, 4.822180407277931 52.41091693244369, 4.827069119763103 52.42036329816744, 4.827069119763103 52.42036329816744))",8847.72422850863,662.5274654842462,25297.95276489872,1520,64050818665.20851,9439.693477044124
877ab6471ffffff,0.0,"POLYGON ((5.032274668645228 52.430281363478514, 5.043756917012411 52.429754224173095, 5.050379623249246 52.41979218881896, 5.045520474579195 52.41035544236975, 5.034036762260395 52.410881708145325, 5.027413662492696 52.42084559406129, 5.032274668645228 52.430281363478514, 5.032274668645228 52.430281363478514))",4129.830310995389,14890.744119491577,4230.434449207549,7,64167986558.14401,18439.8541325863
